time,height
23.919,2.572455
23.952,2.2914872
23.982,1.4010608
24.015,0.24950266
24.046,-0.84407043
24.083,-1.6194811
24.116,-1.8049359
24.147,-1.4651005
24.179,-0.7806858
24.216,0.048100173
24.238,0.6808747
24.266,0.9570469
24.299,0.8929579
24.329,0.54468286
24.361,0.08231902
24.391,-0.29647937
24.425,-0.47735244
24.456,-0.37874216
24.488,-0.050559998
24.519,0.3593958
24.552,0.660741
24.587,0.7271622
24.628,0.47441173
24.651,-0.005417526
24.681,-0.57640284
24.71,-1.0546631
24.741,-1.2761925
24.776,-1.1390176
24.805,-0.64097357
24.836,0.09313625
24.866,0.8308953
24.894,1.3848784
24.925,1.5932487
24.966,1.3628852
24.992,0.7741421
25.018,0.034502804
25.061,-0.80521375
25.088,-1.3766407
25.125,-1.5852277
25.146,-1.3837936
25.198,-0.7467985
25.229,0.028342068
25.252,0.7969767
25.277,1.2087626
25.307,1.3556592
25.339,1.1142911
25.37,0.592884
25.397,-0.035123706
25.428,-0.61787796
25.462,-1.0330446
25.495,-1.1037602
25.527,-0.8655525
25.574,-0.35212284
25.59,0.22196728
25.622,0.7456489
25.657,1.004136
25.685,0.99416155
25.714,0.69553506
25.751,0.17739944
25.775,-0.37003657
25.807,-0.8479967
25.846,-1.1124877
25.871,-1.07305
25.901,-0.7467047
25.935,-0.21247987
25.968,0.415002
25.994,0.9652469
26.025,1.2497702
26.057,1.2289596
26.098,0.87087095
26.134,0.17552215
26.154,-0.37637055
26.184,-0.9515938
26.215,-1.3073612
26.265,-1.3020563
26.285,-0.99656636
26.311,-0.4067838
26.355,0.3299451
26.381,0.8990186
26.411,1.256007
26.442,1.2936914
26.47,1.0074384
26.503,0.4288923
26.53,-0.19585854
26.562,-0.7823465
26.593,-1.1104444
26.633,-1.1087916
26.665,-0.7994194
26.693,-0.2611183
26.724,0.33489043
26.769,0.8464861
26.785,1.0309196
26.812,0.92880684
26.847,0.5173902
26.878,-0.1158998
26.908,-0.6594125
26.95,-1.039901
26.97,-1.0687549
27.012,-0.6923485
27.041,-0.12973946
27.072,0.55406815
27.102,1.1200321
27.136,1.391607
27.16,1.2410941
27.19,0.73157066
27.221,-0.046326637
27.257,-0.9430748
27.287,-1.5334193
27.318,-1.7577156
27.356,-1.495667
27.379,-0.81413734
27.411,0.11480039
27.442,1.0728557
27.476,1.7432142
27.514,1.9670908
27.542,1.6669593
27.574,0.9097242
27.601,-0.020769179
27.636,-1.0115633
27.666,-1.6469793
27.695,-1.8783813
27.747,-1.5596997
27.764,-0.8620661
27.788,-0.13125059
27.824,0.7080397
27.857,1.2333797
27.893,1.4183115
27.918,1.2362194
27.955,0.7968739
27.977,0.19202575
28.008,-0.31665733
28.041,-0.63767684
28.071,-0.71803534
28.104,-0.5845433
28.136,-0.3186649
28.169,-0.07983923
28.203,0.07786119
28.229,0.09067035
28.258,-0.018541723
28.294,-0.13687858
28.321,-0.21525857
28.356,-0.17142296
28.389,0.013802409
28.417,0.27857614
28.449,0.540019
28.481,0.6760428
28.516,0.60658807
28.543,0.34515005
28.574,-0.06262481
28.605,-0.49190918
28.637,-0.8107002
28.669,-0.8835092
28.711,-0.6449115
28.733,-0.23506367
28.774,0.3182099
28.802,0.75912976
28.825,0.93857425
28.856,0.8239026
28.888,0.397646
28.917,-0.16824156
28.969,-0.7814862
28.992,-1.1079221
29.016,-1.0748007
29.047,-0.6798357
29.075,-2.797842E-4
29.107,0.79229116
29.153,1.4501975
29.178,1.5938749
29.202,1.2998478
29.247,0.48003843
29.277,-0.6665958
29.3,-1.4540914
29.332,-2.026991
